Q,var,;,ID,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,?,*,/,%,not,[,],LIBO,LIIN,LICH,LISTR,$,PROGRAM,DELI,DEF,VADE,VALI,IDLI,IDLICO,FUDE,PALI,VADELI,STLI,STMT,STAS,STIN,STDE,STFUCA,FUCA,EXLI,EXLICO,STIF,ELIFLI,ELSE,STLO,STBR,STRE,STEM,EXPR,EXOR,EXAN,EXCO,OPCO,EXRE,OPREL,EXADD,OPADD,EXMUL,OPMUL,EXUN,OPUN,EXPRIM,ARRAY,LIT
10,,,s9,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r5,r5,r5,,,,,r5,,r5,r5,r5,,,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,r7,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,r9,,s13,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,r8,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,r14,r14,r14,,,,,r14,,r14,r14,r14,,,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,r14,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,s5,r16,r16,,,,,r16,,r16,r16,r16,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,s42,s34,,,,,s23,,s35,s36,s38,,,s39,s40,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,26,27,28,37,,,29,,,30,31,32,33,,,,,,,,,,,,,,,,
22,r13,r13,r13,,,,,r13,,r13,r13,r13,,,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,r10,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,r15,r15,,,,,r15,,r15,r15,r15,,,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,r17,r17,,,,,r17,,r17,r17,r17,,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,r18,r18,,,,,r18,,r18,r18,r18,,,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,r19,r19,,,,,r19,,r19,r19,r19,,,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,r20,r20,,,,,r20,,r20,r20,r20,,,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,r21,r21,,,,,r21,,r21,r21,r21,,,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
